iter	RMSE
0	5.006069063
1	4.917088342
2	4.813960861
3	4.726989582
4	4.64049614
5	4.550095105
6	4.462934889
7	4.381722911
8	4.285196059
9	4.209658198
10	4.128857413
11	4.050291065
12	3.979865128
13	3.907577213
14	3.826129533
15	3.743638473
16	3.67058252
17	3.610615547
18	3.545093507
19	3.477609094
20	3.419485428
21	3.350525666
22	3.289079707
23	3.230086179
24	3.178103577
25	3.12246193
26	3.065083664
27	3.014107851
28	2.960376348
29	2.899788121
30	2.843429173
31	2.797751626
32	2.743649314
33	2.698079376
34	2.645985956
35	2.603855887
36	2.562386725
37	2.515594865
38	2.476623634
39	2.434017142
40	2.397677124
41	2.354441792
42	2.314612818
43	2.278249947
44	2.236388993
45	2.196287541
46	2.155784362
47	2.116086079
48	2.084692886
49	2.050297062
50	2.018640376
51	1.985556188
52	1.958835952
53	1.925328053
54	1.892603848
55	1.863727146
56	1.834083352
57	1.808129017
58	1.779340038
59	1.752635687
60	1.728824424
61	1.698528653
62	1.672438378
63	1.64757468
64	1.618798757
65	1.596244896
66	1.569905715
67	1.550449786
68	1.529854206
69	1.507618348
70	1.487006898
71	1.46540853
72	1.441941356
73	1.42237492
74	1.401787279
75	1.384715578
76	1.366073591
77	1.347716324
78	1.327760487
79	1.309047419
80	1.289290385
81	1.269897284
82	1.249523384
83	1.230728878
84	1.213287097
85	1.196681722
86	1.17826484
87	1.162210615
88	1.149854573
89	1.1372475
90	1.123265175
91	1.107682105
92	1.09366982
93	1.080623803
94	1.065786449
95	1.052727967
96	1.041878347
97	1.027516036
98	1.015171452
99	1.004557377
100	0.9937228212
101	0.9836073923
102	0.972926293
103	0.9620380599
104	0.9507897628
105	0.9380177532
106	0.9286285218
107	0.9182355747
108	0.9057281128
109	0.8954666832
110	0.8863465028
111	0.8763374735
112	0.8657308374
113	0.8555119726
114	0.8460069023
115	0.8359634928
116	0.8257677921
117	0.8144887311
118	0.8044544782
119	0.796632427
120	0.7879916713
121	0.7804458673
122	0.7737985702
123	0.7665181857
124	0.7569901339
125	0.7501216652
126	0.7412310076
127	0.7333574605
128	0.7262183731
129	0.718392953
130	0.711312061
131	0.7054233487
132	0.6972913192
133	0.6914899019
134	0.6846779074
135	0.678403958
