iter	Passed	Remaining
0	150	149884
1	154	77165
2	158	52808
3	162	40514
4	166	33230
5	171	28368
6	175	24882
7	179	22245
8	183	20231
9	187	18607
10	192	17270
11	196	16140
12	200	15238
13	204	14413
14	209	13762
15	214	13169
16	218	12644
17	222	12141
18	226	11682
19	230	11308
20	234	10936
21	238	10587
22	241	10260
23	245	9970
24	249	9715
25	252	9465
26	256	9228
27	259	9010
28	263	8829
29	267	8654
30	270	8470
31	274	8297
32	277	8137
33	281	7988
34	284	7847
35	287	7707
36	291	7574
37	294	7467
38	298	7365
39	302	7251
40	305	7142
41	308	7041
42	312	6945
43	315	6853
44	318	6760
45	322	6679
46	326	6612
47	329	6537
48	333	6470
49	336	6396
50	340	6335
51	343	6267
52	347	6201
53	350	6142
54	354	6088
55	358	6039
56	362	5996
57	365	5941
58	369	5890
59	372	5843
60	376	5792
61	379	5744
62	383	5698
63	387	5660
64	391	5630
65	394	5588
66	398	5546
67	401	5507
68	405	5468
69	408	5432
70	412	5395
71	415	5360
72	419	5332
73	423	5301
74	427	5268
75	430	5238
76	435	5224
77	439	5197
78	443	5165
79	447	5146
80	452	5133
81	456	5105
82	460	5082
83	463	5053
84	467	5030
85	470	4999
86	473	4969
87	476	4941
88	479	4912
89	483	4893
90	486	4864
91	490	4840
92	493	4813
93	496	4784
94	500	4766
95	505	4759
96	508	4731
97	511	4704
98	514	4686
99	518	4662
100	521	4640
101	524	4616
102	527	4591
103	531	4575
104	534	4555
105	537	4532
106	540	4511
107	543	4487
108	546	4468
109	550	4453
110	553	4432
111	556	4409
112	559	4390
113	562	4372
114	565	4353
115	568	4334
116	571	4314
117	574	4294
118	578	4279
119	581	4264
120	584	4246
121	587	4226
122	590	4209
123	593	4195
124	597	4180
125	600	4163
126	603	4145
127	606	4128
128	609	4113
129	612	4100
130	615	4085
131	618	4070
132	621	4054
133	625	4040
134	629	4031
135	632	4017
136	635	4003
137	638	3989
138	641	3974
139	644	3959
140	647	3945
141	650	3929
142	654	3923
143	658	3913
144	662	3904
145	665	3891
146	668	3880
147	672	3871
148	676	3863
149	679	3851
150	683	3842
151	686	3831
152	690	3824
153	694	3812
154	697	3803
155	700	3792
156	704	3781
157	707	3769
158	710	3757
159	714	3752
160	718	3744
161	723	3744
162	727	3738
163	731	3730
164	735	3723
165	741	3725
166	745	3719
167	749	3710
168	753	3706
169	758	3702
170	761	3693
171	765	3685
172	769	3679
173	773	3671
174	777	3663
175	780	3655
176	784	3649
177	789	3645
178	793	3638
179	797	3630
180	801	3624
181	804	3616
182	808	3609
183	812	3601
184	816	3595
185	820	3591
186	824	3583
187	828	3576
188	832	3571
189	836	3565
190	840	3558
191	843	3550
192	848	3546
193	852	3541
194	855	3533
195	859	3526
196	864	3522
197	868	3516
198	871	3506
199	874	3496
200	877	3486
201	880	3476
202	883	3469
203	886	3460
204	889	3450
205	893	3443
206	896	3436
207	900	3427
208	903	3418
209	906	3410
210	910	3406
211	914	3397
212	916	3387
213	920	3380
214	924	3374
215	928	3371
216	932	3363
217	935	3354
218	938	3346
219	942	3340
220	945	3334
221	948	3325
222	952	3319
223	955	3310
224	959	3304
225	964	3302
226	967	3295
227	970	3287
228	974	3281
229	978	3274
230	981	3267
231	984	3258
232	987	3250
233	991	3245
234	994	3237
235	997	3229
236	1000	3221
237	1003	3212
238	1007	3206
239	1011	3201
240	1014	3193
241	1016	3185
242	1020	3178
243	1023	3171
244	1027	3166
245	1030	3158
246	1033	3150
247	1036	3142
248	1040	3136
249	1042	3128
250	1046	3121
251	1048	3113
252	1052	3106
253	1055	3101
254	1058	3093
255	1061	3086
256	1065	3079
257	1068	3072
258	1071	3066
259	1074	3059
260	1077	3050
261	1080	3043
262	1084	3037
263	1087	3031
264	1090	3024
265	1093	3018
266	1096	3011
267	1099	3004
268	1102	2997
269	1105	2989
270	1108	2982
271	1111	2975
272	1115	2970
273	1119	2965
274	1122	2959
275	1125	2952
276	1128	2944
277	1132	2940
278	1135	2934
279	1138	2926
280	1141	2920
281	1144	2914
282	1148	2911
283	1152	2904
284	1154	2897
285	1157	2890
286	1161	2885
287	1165	2880
288	1169	2877
289	1172	2871
290	1176	2865
291	1179	2860
292	1183	2856
293	1186	2849
294	1189	2843
295	1192	2836
296	1195	2830
297	1200	2828
298	1203	2822
299	1207	2816
300	1209	2809
301	1213	2804
302	1217	2799
303	1220	2793
304	1222	2786
305	1226	2780
306	1229	2774
307	1232	2769
308	1235	2762
309	1238	2756
310	1241	2750
311	1244	2744
312	1248	2739
313	1251	2733
314	1253	2726
315	1257	2721
316	1260	2716
317	1263	2709
318	1266	2703
319	1269	2697
320	1272	2690
321	1275	2686
322	1278	2680
323	1281	2674
324	1284	2668
325	1287	2662
326	1290	2656
327	1294	2651
328	1296	2644
329	1299	2638
330	1302	2632
331	1305	2626
332	1308	2621
333	1312	2616
334	1314	2610
335	1317	2604
336	1320	2598
337	1324	2593
338	1327	2587
339	1329	2581
340	1332	2575
341	1336	2570
342	1340	2568
343	1344	2564
344	1348	2559
345	1351	2554
346	1355	2550
347	1358	2546
348	1362	2540
349	1365	2536
350	1369	2533
351	1373	2529
